	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_0	2698	2759	3601	3664	55.015336990356445	55.59315299987793	-53.709550857543945	-54.74342155456543
Box_1	2698	2762	3663	3726	55.59315299987793	56.164594650268555	-53.851579666137695	-54.88790512084961
Box_2	2700	2758	3724	3782	56.164594650268555	56.72976112365723	-54.00220489501953	-55.041086196899414
Box_3	2696	2756	3783	3839	56.72976112365723	57.28875160217285	-54.16181564331055	-55.20335578918457
Box_4	2698	2762	3844	3904	57.28875160217285	57.84165954589844	-54.3308162689209	-55.375112533569336
Box_5	2701	2761	3899	3965	57.84165954589844	58.388572692871094	-54.50963592529297	-55.556785583496094
Box_6	2696	2762	3961	4022	58.388572692871094	58.92957878112793	-54.698720932006836	-55.74882125854492
Box_7	2701	2760	4017	4074	58.92957878112793	59.46475791931152	-54.89854621887207	-55.951690673828125
Box_8	2704	2756	4088	4139	59.46475791931152	59.99418258666992	-55.109609603881836	-56.16588592529297
Box_9	2700	2757	4136	4200	59.99418258666992	60.517921447753906	-55.33243751525879	-56.39193153381348
Box_10	2707	2759	4206	4254	60.517921447753906	61.036033630371094	-55.56758499145508	-56.630374908447266
Box_11	2756	2815	3607	3663	55.09938049316406	55.68084907531738	-52.67245101928711	-53.709550857543945
Box_12	2761	2814	3668	3726	55.68084907531738	56.25599479675293	-52.81175231933594	-53.851579666137695
Box_13	2763	2822	3720	3781	56.25599479675293	56.824920654296875	-52.95953369140625	-54.00220489501953
Box_14	2757	2822	3785	3842	56.824920654296875	57.387725830078125	-53.11617851257324	-54.16181564331055
Box_15	2765	2814	3848	3904	57.387725830078125	57.94450569152832	-53.28209686279297	-54.3308162689209
Box_16	2756	2821	3900	3958	57.94450569152832	58.49534797668457	-53.45771598815918	-54.50963592529297
Box_17	2763	2817	3965	4021	58.49534797668457	59.04033851623535	-53.64348602294922	-54.698720932006836
Box_18	2767	2816	4022	4078	59.04033851623535	59.57956123352051	-53.83987808227539	-54.89854621887207
Box_19	2764	2819	4085	4136	59.57956123352051	60.113088607788086	-54.047401428222656	-55.109609603881836
Box_20	2767	2818	4140	4201	60.113088607788086	60.6409912109375	-54.26658058166504	-55.33243751525879
Box_21	2763	2820	4208	4260	60.6409912109375	61.163330078125	-54.497976303100586	-55.56758499145508
Box_22	2817	2881	3605	3660	55.18141746520996	55.76646041870117	-51.632144927978516	-52.67245101928711
Box_23	2823	2876	3664	3726	55.76646041870117	56.345237731933594	-51.76844596862793	-52.81175231933594
Box_24	2816	2880	3725	3783	56.345237731933594	56.917850494384766	-51.9130916595459	-52.95953369140625
Box_25	2823	2875	3788	3841	56.917850494384766	57.484397888183594	-52.06646728515625	-53.11617851257324
Box_26	2822	2878	3842	3898	57.484397888183594	58.04497528076172	-52.22897720336914	-53.28209686279297
Box_27	2823	2881	3906	3965	58.04497528076172	58.599674224853516	-52.40104866027832	-53.45771598815918
Box_28	2826	2876	3967	4018	58.599674224853516	59.14858055114746	-52.58313751220703	-53.64348602294922
Box_29	2817	2883	4027	4084	59.14858055114746	59.6917781829834	-52.775712966918945	-53.83987808227539
Box_30	2818	2880	4085	4142	59.6917781829834	60.22934150695801	-52.97928237915039	-54.047401428222656
Box_31	2823	2884	4141	4205	60.22934150695801	60.761343002319336	-53.194379806518555	-54.26658058166504
Box_32	2818	2877	4199	4264	60.761343002319336	61.2878475189209	-53.42156410217285	-54.497976303100586
Box_33	2876	2940	3608	3663	55.26133346557617	55.849870681762695	-50.588661193847656	-51.632144927978516
Box_34	2877	2940	3666	3720	55.849870681762695	56.432199478149414	-50.7216911315918	-51.76844596862793
Box_35	2883	2942	3721	3787	56.432199478149414	57.008419036865234	-50.86291313171387	-51.9130916595459
Box_36	2879	2936	3783	3844	57.008419036865234	57.578630447387695	-51.01271057128906	-52.06646728515625
Box_37	2879	2939	3847	3903	57.578630447387695	58.14292907714844	-51.17148780822754	-52.22897720336914
Box_38	2884	2935	3904	3964	58.14292907714844	58.701406478881836	-51.339670181274414	-52.40104866027832
Box_39	2878	2937	3963	4019	58.701406478881836	59.254154205322266	-51.517709732055664	-52.58313751220703
Box_40	2879	2935	4021	4076	59.254154205322266	59.80125427246094	-51.70608139038086	-52.775712966918945
Box_41	2887	2937	4082	4138	59.80125427246094	60.3427848815918	-51.90528869628906	-52.97928237915039
Box_42	2880	2939	4139	4199	60.3427848815918	60.87881660461426	-52.115867614746094	-53.194379806518555
