	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_0	3474	3534	2349	2409	41.45196914672852	42.21144676208496	-39.09493446350098	-40.10263442993164
Box_1	3474	3534	2409	2469	42.21144676208496	42.96345901489258	-39.11050033569336	-40.11942863464356
Box_2	3474	3534	2469	2529	42.96345901489258	43.70804977416992	-39.127851486206055	-40.13814353942871
Box_3	3474	3534	2529	2588	43.70804977416992	44.44526290893555	-39.14711570739746	-40.15890884399414
Box_4	3474	3534	2588	2649	44.44526290893555	45.17515373229981	-39.16841125488281	-40.18185615539551
Box_5	3474	3534	2648	2709	45.17515373229981	45.89778327941895	-39.19187545776367	-40.20712852478027
Box_6	3474	3534	2708	2768	45.89778327941895	46.61321258544922	-39.21764373779297	-40.2348690032959
Box_7	3474	3535	2769	2829	46.61321258544922	47.32151222229004	-39.24585151672363	-40.26522254943848
Box_8	3475	3534	2828	2888	47.32151222229004	48.02276039123535	-39.27664756774902	-40.29834365844727
Box_9	3475	3535	2889	2949	48.02276039123535	48.7170352935791	-39.31018257141113	-40.33439254760742
Box_10	3475	3534	2948	3008	48.7170352935791	49.40442085266113	-39.346609115600586	-40.3735294342041
Box_11	3474	3536	3009	3068	49.40442085266113	50.08500671386719	-39.38609123229981	-40.41592788696289
Box_12	3475	3536	3069	3129	50.08500671386719	50.75888252258301	-39.42879867553711	-40.461761474609375
Box_13	3475	3534	3128	3187	50.75888252258301	51.42614555358887	-39.47490310668945	-40.51121711730957
Box_14	3474	3535	3189	3248	51.42614555358887	52.08689689636231	-39.52459144592285	-40.56448745727539
Box_15	3475	3534	3249	3307	52.08689689636231	52.74123764038086	-39.57805633544922	-40.62177085876465
Box_16	3477	3535	3310	3368	52.74123764038086	53.38927268981934	-39.63549613952637	-40.68328094482422
Box_17	3477	3535	3367	3430	53.38927268981934	54.03110885620117	-39.69712829589844	-40.74923896789551
Box_18	3478	3535	3428	3487	54.03110885620117	54.66685485839844	-39.76317024230957	-40.81987571716309
Box_19	3478	3536	3489	3548	54.66685485839844	55.29662132263184	-39.83386039733887	-40.89543533325195
Box_20	3534	3594	2349	2409	41.46442604064941	42.22515106201172	-38.08700752258301	-39.09493446350098
Box_21	3534	3594	2409	2469	42.22515106201172	42.97846794128418	-38.1013069152832	-39.11050033569336
Box_22	3534	3594	2469	2529	42.97846794128418	43.72441864013672	-38.11725425720215	-39.127851486206055
Box_23	3534	3594	2529	2589	43.72441864013672	44.463050842285156	-38.13496780395508	-39.14711570739746
Box_24	3534	3594	2589	2649	44.463050842285156	45.19441604614258	-38.15456199645996	-39.16841125488281
Box_25	3534	3594	2649	2709	45.19441604614258	45.91857147216797	-38.17616081237793	-39.19187545776367
Box_26	3535	3594	2708	2768	45.91857147216797	46.63558006286621	-38.19989204406738	-39.21764373779297
Box_27	3534	3595	2769	2828	46.63558006286621	47.34551239013672	-38.225887298583984	-39.24585151672363
Box_28	3535	3594	2829	2889	47.34551239013672	48.04844474792481	-38.2542839050293	-39.27664756774902
Box_29	3534	3595	2888	2948	48.04844474792481	48.74445343017578	-38.28522300720215	-39.31018257141113
Box_30	3535	3594	2949	3008	48.74445343017578	49.43362236022949	-38.31885147094727	-39.346609115600586
Box_31	3535	3594	3009	3068	49.43362236022949	50.11604118347168	-38.35532188415527	-39.38609123229981
Box_32	3535	3596	3068	3128	50.11604118347168	50.79179954528809	-38.39479637145996	-39.42879867553711
Box_33	3536	3595	3129	3188	50.79179954528809	51.46099472045898	-38.43743705749512	-39.47490310668945
Box_34	3536	3595	3189	3250	51.46099472045898	52.12372589111328	-38.48342514038086	-39.52459144592285
Box_35	3536	3595	3249	3307	52.12372589111328	52.78009605407715	-38.53293800354004	-39.57805633544922
Box_36	3537	3594	3310	3368	52.78009605407715	53.43021011352539	-38.5861701965332	-39.63549613952637
Box_37	3537	3596	3370	3430	53.43021011352539	54.07417488098145	-38.64332389831543	-39.69712829589844
Box_38	3537	3596	3427	3488	54.07417488098145	54.71210289001465	-38.70461082458496	-39.76317024230957
Box_39	3538	3596	3490	3548	54.71210289001465	55.34410285949707	-38.77025604248047	-39.83386039733887
Box_40	3594	3653	2349	2409	41.47595024108887	42.23783302307129	-37.0788631439209	-38.08700752258301
Box_41	3594	3654	2409	2469	42.23783302307129	42.99236488342285	-37.09185981750488	-38.1013069152832
Box_42	3594	3654	2469	2529	42.99236488342285	43.73958396911621	-37.10636329650879	-38.11725425720215
Box_43	3594	3654	2529	2589	43.73958396911621	44.47953605651856	-37.12248229980469	-38.13496780395508
Box_44	3594	3654	2589	2649	44.47953605651856	45.21227264404297	-37.140323638916016	-38.15456199645996
Box_45	3594	3654	2649	2709	45.21227264404297	45.93784904479981	-37.160003662109375	-38.17616081237793
Box_46	3594	3654	2709	2769	45.93784904479981	46.65633010864258	-37.18163871765137	-38.19989204406738
Box_47	3594	3654	2769	2829	46.65633010864258	47.3677864074707	-37.20535659790039	-38.225887298583984
Box_48	3595	3654	2829	2888	47.3677864074707	48.07229042053223	-37.23128128051758	-38.2542839050293
Box_49	3594	3654	2889	2948	48.07229042053223	48.76991844177246	-37.25954818725586	-38.28522300720215
Box_50	3595	3654	2948	3009	48.76991844177246	49.46075630187988	-37.29029273986816	-38.31885147094727
Box_51	3595	3655	3008	3068	49.46075630187988	50.1448917388916	-37.32366180419922	-38.35532188415527
Box_52	3594	3655	3069	3129	50.1448917388916	50.82241439819336	-37.35980224609375	-38.39479637145996
