	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_0	1614	1673	1748	1807	33.25783157348633	34.058265686035156	-70.02786636352539	-71.02766799926758
Box_1	1614	1673	1808	1867	34.058265686035156	34.84780693054199	-70.03582382202148	-71.03556060791016
Box_2	1614	1673	1868	1927	34.84780693054199	35.626399993896484	-70.04532623291016	-71.04498672485352
Box_3	1614	1673	1927	1987	35.626399993896484	36.39401817321777	-70.05652618408203	-71.05609893798828
Box_4	1614	1673	1987	2047	36.39401817321777	37.15065956115723	-70.06960678100586	-71.06907272338867
Box_5	1614	1674	2047	2107	37.15065956115723	37.896339416503906	-70.08474731445312	-71.08408737182617
Box_6	1614	1674	2107	2167	37.896339416503906	38.6310977935791	-70.10211563110352	-71.10130310058594
Box_7	1614	1674	2166	2227	38.6310977935791	39.354997634887695	-70.12189865112305	-71.12091827392578
Box_8	1614	1674	2226	2286	39.354997634887695	40.068111419677734	-70.14429092407227	-71.14310836791992
Box_9	1614	1674	2287	2346	40.068111419677734	40.770530700683594	-70.16946411132812	-71.16805648803711
Box_10	1674	1733	1748	1807	33.26468849182129	34.066402435302734	-69.02802658081055	-70.02786636352539
Box_11	1674	1733	1808	1867	34.066402435302734	34.857351303100586	-69.0360336303711	-70.03582382202148
Box_12	1674	1733	1868	1927	34.857351303100586	35.637481689453125	-69.04559326171875	-70.04532623291016
Box_13	1674	1733	1927	1987	35.637481689453125	36.40676689147949	-69.05686950683594	-70.05652618408203
Box_14	1674	1734	1987	2047	36.40676689147949	37.16520309448242	-69.07003784179688	-70.06960678100586
Box_15	1674	1734	2047	2107	37.16520309448242	37.91280937194824	-69.08528137207031	-70.08474731445312
Box_16	1674	1734	2107	2167	37.91280937194824	38.64962196350098	-69.10277557373047	-70.10211563110352
Box_17	1674	1734	2166	2227	38.64962196350098	39.37569999694824	-69.12269973754883	-70.12189865112305
Box_18	1674	1734	2226	2286	39.37569999694824	40.09111785888672	-69.14525604248047	-70.14429092407227
Box_19	1674	1734	2287	2346	40.09111785888672	40.795963287353516	-69.17061996459961	-70.16946411132812
Box_20	1734	1793	1748	1807	33.27158546447754	34.0745849609375	-68.02814483642578	-69.02802658081055
Box_21	1734	1793	1808	1867	34.0745849609375	34.8669490814209	-68.03619003295898	-69.0360336303711
Box_22	1734	1793	1868	1927	34.8669490814209	35.64862632751465	-68.04579162597656	-69.04559326171875
Box_23	1734	1793	1927	1987	35.64862632751465	36.41958808898926	-68.05712890625	-69.05686950683594
Box_24	1734	1794	1987	2047	36.41958808898926	37.17983055114746	-68.07036590576172	-69.07003784179688
Box_25	1734	1794	2047	2107	37.17983055114746	37.929372787475586	-68.08568572998047	-69.08528137207031
Box_26	1734	1794	2107	2167	37.929372787475586	38.66824913024902	-68.10327529907227	-69.10277557373047
Box_27	1734	1794	2166	2227	38.66824913024902	39.39651679992676	-68.1233139038086	-69.12269973754883
Box_28	1734	1794	2226	2286	39.39651679992676	40.11425018310547	-68.14599990844727	-69.14525604248047
Box_29	1734	1794	2287	2346	40.11425018310547	40.821533203125	-68.1715202331543	-69.17061996459961
Box_30	1794	1853	1748	1807	33.27851676940918	34.082807540893555	-67.02821731567383	-68.02814483642578
Box_31	1794	1853	1808	1867	34.082807540893555	34.8765926361084	-67.03628921508789	-68.03619003295898
Box_32	1794	1853	1868	1927	34.8765926361084	35.65982246398926	-67.04592514038086	-68.04579162597656
Box_33	1794	1853	1927	1987	35.65982246398926	36.43246650695801	-67.05729675292969	-68.05712890625
Box_34	1794	1854	1987	2047	36.43246650695801	37.19452095031738	-67.07058334350586	-68.07036590576172
Box_35	1794	1854	2047	2107	37.19452095031738	37.94600486755371	-67.0859603881836	-68.08568572998047
Box_36	1794	1854	2107	2167	37.94600486755371	38.686954498291016	-67.10361862182617	-68.10327529907227
Box_37	1794	1854	2166	2227	38.686954498291016	39.41742134094238	-67.12374114990234	-68.1233139038086
Box_38	1794	1854	2226	2286	39.41742134094238	40.137474060058594	-67.14652252197266	-68.14599990844727
Box_39	1794	1854	2287	2346	40.137474060058594	40.84720039367676	-67.17215728759766	-68.1715202331543
Box_40	1854	1913	1748	1808	33.28546714782715	34.0910530090332	-66.02824783325195	-67.02821731567383
Box_41	1854	1913	1808	1867	34.0910530090332	34.88626480102539	-66.03633117675781	-67.03628921508789
Box_42	1854	1913	1868	1927	34.88626480102539	35.67104911804199	-66.04598617553711	-67.04592514038086
Box_43	1854	1913	1928	1987	35.67104911804199	36.44537925720215	-66.05737686157227	-67.05729675292969
Box_44	1854	1914	1987	2047	36.44537925720215	37.20925331115723	-66.0706901550293	-67.07058334350586
Box_45	1854	1914	2047	2107	37.20925331115723	37.962684631347656	-66.08610534667969	-67.0859603881836
Box_46	1854	1914	2107	2167	37.962684631347656	38.70570755004883	-66.10380554199219	-67.10361862182617
Box_47	1854	1914	2167	2227	38.70570755004883	39.43837547302246	-66.12398147583008	-67.12374114990234
Box_48	1854	1914	2226	2287	39.43837547302246	40.160757064819336	-66.14682388305664	-67.14652252197266
Box_49	1854	1914	2286	2346	40.160757064819336	40.87293243408203	-66.17253112792969	-67.17215728759766
Box_50	1914	1973	1748	1808	33.292428970336914	34.099313735961914	-65.02823257446289	-66.02824783325195
Box_51	1914	1973	1808	1867	34.099313735961914	34.89595031738281	-65.03631973266602	-66.03633117675781
Box_52	1914	1973	1868	1927	34.89595031738281	35.68229103088379	-65.04597473144531	-66.04598617553711
Box_53	1914	1973	1928	1987	35.68229103088379	36.45831108093262	-65.05736923217773	-66.05737686157227
Box_54	1914	1974	1987	2047	36.45831108093262	37.224002838134766	-65.0706901550293	-66.0706901550293
Box_55	1914	1974	2047	2107	37.224002838134766	37.9793815612793	-65.08611297607422	-66.08610534667969
Box_56	1914	1974	2107	2167	37.9793815612793	38.7244815826416	-65.10382843017578	-66.10380554199219
Box_57	1914	1974	2167	2227	38.7244815826416	39.45935249328613	-65.12402725219727	-66.12398147583008
Box_58	1914	1974	2226	2286	39.45935249328613	40.18406105041504	-65.14690017700195	-66.14682388305664
Box_59	1914	1974	2287	2347	40.18406105041504	40.898685455322266	-65.17264175415039	-66.17253112792969
Box_60	1974	2033	1748	1808	33.29938888549805	34.10757064819336	-64.0281753540039	-65.02823257446289
Box_61	1974	2033	1808	1868	34.10757064819336	34.9056339263916	-64.03625106811523	-65.03631973266602
Box_62	1974	2033	1868	1927	34.9056339263916	35.69353103637695	-64.04589080810547	-65.04597473144531
Box_63	1974	2033	1928	1987	35.69353103637695	36.47123908996582	-64.05727195739746	-65.05736923217773
Box_64	1974	2034	1987	2047	36.47123908996582	37.23874855041504	-64.0705795288086	-65.0706901550293
Box_65	1974	2034	2047	2107	37.23874855041504	37.99607276916504	-64.08598899841309	-65.08611297607422
Box_66	1974	2034	2107	2167	37.99607276916504	38.743247985839844	-64.10369110107422	-65.10382843017578
Box_67	1974	2034	2167	2226	38.743247985839844	39.48031997680664	-64.1238784790039	-65.12402725219727
Box_68	1974	2034	2227	2287	39.48031997680664	40.20734977722168	-64.14674377441406	-65.14690017700195
Box_69	1974	2034	2286	2346	40.20734977722168	40.92441749572754	-64.17248153686523	-65.17264175415039
Box_70	2034	2093	1748	1808	33.30633735656738	34.115814208984375	-63.028076171875	-64.0281753540039
Box_71	2034	2093	1808	1868	34.115814208984375	34.91530227661133	-63.036123275756836	-64.03625106811523
Box_72	2034	2093	1868	1927	34.91530227661133	35.70475387573242	-63.04573440551758	-64.04589080810547
Box_73	2034	2093	1928	1987	35.70475387573242	36.4841423034668	-63.05708694458008	-64.05727195739746
Box_74	2034	2094	1987	2047	36.4841423034668	37.25346374511719	-63.070356369018555	-64.0705795288086
Box_75	2034	2094	2047	2107	37.25346374511719	38.01273155212402	-63.085731506347656	-64.08598899841309
Box_76	2034	2094	2107	2167	38.01273155212402	38.7619743347168	-63.1033935546875	-64.10369110107422
Box_77	2034	2094	2167	2226	38.7619743347168	39.50123977661133	-63.12353515625	-64.1238784790039
Box_78	2034	2094	2227	2286	39.50123977661133	40.23058891296387	-63.14635467529297	-64.14674377441406
Box_79	2034	2094	2287	2347	40.23058891296387	40.95009422302246	-63.172048568725586	-64.17248153686523
Box_80	2094	2153	1748	1808	33.31326675415039	34.12403106689453	-62.027931213378906	-63.028076171875
Box_81	2094	2153	1808	1868	34.12403106689453	34.924936294555664	-62.03593826293945	-63.036123275756836
Box_82	2094	2153	1868	1928	34.924936294555664	35.7159366607666	-62.04550743103027	-63.04573440551758
Box_83	2094	2153	1928	1987	35.7159366607666	36.49700355529785	-62.05681037902832	-63.05708694458008
Box_84	2094	2154	1988	2047	36.49700355529785	37.268131256103516	-62.07002258300781	-63.070356369018555
Box_85	2094	2154	2047	2107	37.268131256103516	38.02933311462402	-62.08533477783203	-63.085731506347656
Box_86	2094	2154	2107	2167	38.02933311462402	38.78063774108887	-62.102928161621094	-63.1033935546875
Box_87	2094	2154	2167	2227	38.78063774108887	39.5220890045166	-62.122995376586914	-63.12353515625
Box_88	2094	2154	2227	2286	39.5220890045166	40.25374412536621	-62.145734786987305	-63.14635467529297
Box_89	2094	2154	2287	2346	40.25374412536621	40.97567558288574	-62.17134094238281	-63.172048568725586
Box_90	2154	2213	1748	1808	33.320159912109375	34.13220977783203	-61.027740478515625	-62.027931213378906
Box_91	2154	2213	1808	1868	34.13220977783203	34.934526443481445	-61.03569793701172	-62.03593826293945
Box_92	2154	2213	1868	1928	34.934526443481445	35.72706604003906	-61.04520797729492	-62.04550743103027
Box_93	2154	2213	1928	1987	35.72706604003906	36.50980186462402	-61.05644226074219	-62.05681037902832
Box_94	2154	2214	1988	2047	36.50980186462402	37.2827262878418	-61.06957817077637	-62.07002258300781
Box_95	2154	2214	2047	2107	37.2827262878418	38.04585075378418	-61.08480262756348	-62.08533477783203
Box_96	2154	2214	2107	2167	38.04585075378418	38.799203872680664	-61.10229682922363	-62.102928161621094
Box_97	2154	2214	2167	2227	38.799203872680664	39.54282760620117	-61.12225914001465	-62.122995376586914
Box_98	2154	2214	2227	2287	39.54282760620117	40.276777267456055	-61.144880294799805	-62.145734786987305
Box_99	2154	2214	2286	2347	40.276777267456055	41.001121520996094	-61.170358657836914	-62.17134094238281
Box_100	2214	2273	1748	1808	33.32701110839844	34.140336990356445	-60.027503967285156	-61.027740478515625
Box_101	2214	2273	1808	1868	34.140336990356445	34.94405555725098	-60.035400390625	-61.03569793701172
Box_102	2214	2273	1868	1928	34.94405555725098	35.73812294006348	-60.04483413696289	-61.04520797729492
Box_103	2214	2273	1928	1988	35.73812294006348	36.52251625061035	-60.05598258972168	-61.05644226074219
Box_104	2214	2273	1988	2047	36.52251625061035	37.29722595214844	-60.069021224975586	-61.06957817077637
Box_105	2214	2274	2047	2107	37.29722595214844	38.0622615814209	-60.08413314819336	-61.08480262756348
Box_106	2214	2274	2107	2167	38.0622615814209	38.817649841308594	-60.10150146484375	-61.10229682922363
Box_107	2214	2274	2167	2227	38.817649841308594	39.56342887878418	-60.12132453918457	-61.12225914001465
Box_108	2214	2274	2227	2287	39.56342887878418	40.29965400695801	-60.143789291381836	-61.144880294799805
